model,oem,network_edge,weight,display_size,height,width,depth,battery,launch.year,launch.day,launch.month
7T Pro,OnePlus,nan,206.0,16.9418,162.6,75.9,8.8,11.996473488733228,2019.0,10.0,10.0
7T,OnePlus,nan,190.0,16.637,160.9,74.4,8.1,11.892163309861965,2019.0,26.0,9.0
7 Pro 5G,OnePlus,nan,206.0,16.9418,162.6,75.9,8.8,11.966144913345602,2019.0,14.0,5.0
Reno4 Pro 5G,Oppo,nan,172.0,16.637,159.6,72.5,7.6,11.966144913345602,2020.0,5.0,6.0
Reno4 5G,Oppo,nan,183.0,16.3322,159.3,74.0,7.8,11.966144913345602,2020.0,5.0,6.0
Find X2 Neo,Oppo,nan,171.0,16.51,159.4,72.4,7.7,11.97513145692134,2020.0,15.0,4.0
A92s,Oppo,nan,184.0,16.6878,163.8,75.5,8.1,11.966144913345602,2020.0,20.0,4.0
Find X2 Lite,Oppo,nan,180.0,16.256,160.3,74.3,8.0,11.97513145692134,2020.0,20.0,4.0
Ace2,Oppo,nan,186.0,16.637,160.0,75.4,8.6,11.966144913345602,2020.0,13.0,4.0
A12e,Oppo,nan,168.0,15.748000000000001,156.2,75.6,8.2,12.04678297035635,2020.0,3.0,4.0
Reno3,Oppo,nan,170.0,16.256,160.2,73.3,7.9,11.97513145692134,2020.0,17.0,3.0
Find X2 Pro,Oppo,nan,217.0,17.018,165.2,74.4,8.8,12.05697633617822,2020.0,6.0,3.0
Find X2,Oppo,nan,209.0,17.018,164.9,74.5,8.0,12.036517070486518,2020.0,6.0,3.0
Reno3 Pro,Oppo,nan,175.0,16.256,158.8,73.4,8.1,11.97513145692134,2020.0,2.0,3.0
F15,Oppo,nan,172.0,16.256,160.2,73.3,7.9,11.97513145692134,2020.0,16.0,1.0
Reno3 Pro 5G,Oppo,nan,171.0,16.51,159.4,72.4,7.7,11.97513145692134,2019.0,,12.0
Reno3 Youth,Oppo,nan,180.0,16.256,160.3,74.3,8.0,11.97513145692134,2020.0,8.0,2.0
Reno3 5G,Oppo,nan,181.0,16.256,160.3,74.3,8.0,11.97513145692134,2019.0,,12.0
A91,Oppo,nan,172.0,16.256,160.2,73.3,7.9,11.97513145692134,2019.0,20.0,12.0
A8,Oppo,nan,180.0,16.51,163.9,75.5,8.3,12.04678297035635,2019.0,,12.0
Reno Ace,Oppo,nan,200.0,16.51,161.0,75.7,8.7,11.966144913345602,2019.0,,10.0
Reno A,Oppo,nan,169.5,16.256,158.4,75.4,7.8,11.81418188419028,2019.0,,9.0
A5 (2020),Oppo,nan,195.0,16.51,163.6,75.4,9.1,12.288000889707574,2019.0,21.0,9.0
A9 (2020),Oppo,nan,195.0,16.51,163.6,75.6,9.1,12.288000889707574,2019.0,10.0,9.0
Reno2,Oppo,nan,189.0,16.51,160.0,74.3,9.5,11.966144913345602,2019.0,28.0,8.0
Reno2 F,Oppo,nan,195.0,16.51,162.4,75.8,8.7,11.966144913345602,2019.0,28.0,8.0
Reno2 Z,Oppo,nan,195.0,16.5862,162.4,75.8,8.7,11.966144913345602,2019.0,,8.0
Reno Z,Oppo,nan,186.0,16.256,157.3,74.9,9.1,11.978710459106358,2019.0,,5.0
A9x,Oppo,nan,190.0,16.5862,162.0,76.1,8.3,11.97333862080036,2019.0,,5.0
Reno 5G,Oppo,nan,215.0,16.764,162.0,77.2,9.3,11.989394499844732,2019.0,,4.0
A1k,Oppo,nan,170.0,15.494,154.5,73.8,8.4,11.966144913345602,2019.0,,4.0
A5 (AX5),Oppo,nan,168.0,15.748000000000001,156.2,75.6,8.2,12.04678297035635,2018.0,,7.0
A31 (2015),Oppo,Yes,135.0,11.43,131.9,65.5,8.0,10.966505451905741,2015.0,17.0,4.0
Neva jet 5G,Orange,nan,171.0,16.433799999999998,159.2,73.4,7.9,11.966144913345602,2019.0,,11.0
Gova,Orange,Yes,,11.43,,,,10.966505451905741,2014.0,,2.0
Treo 650,Palm,Class 10,178.0,6.096,113.0,59.0,23.0,,2004.0,,11.0
Eluga I7 (2019),Panasonic,nan,168.0,13.843,148.8,70.9,9.3,11.966144913345602,2019.0,,6.0
Eluga DL1,Panasonic,nan,103.0,10.921999999999999,123.0,62.0,7.8,10.16867211813223,2012.0,,2.0
VS7,Panasonic,No,113.0,,102.0,51.0,18.8,9.698704666770345,2005.0,,2.0
MX7,Panasonic,No,144.0,,102.0,51.0,26.0,10.697836357962377,2005.0,,2.0
SA7,Panasonic,No,140.0,,102.0,53.0,26.0,10.697836357962377,2005.0,,2.0
X70,Panasonic,No,95.0,,87.0,47.0,24.0,9.60917873814198,2003.0,,8.0
GD87,Panasonic,No,103.0,,97.0,49.0,23.0,9.493855449240822,2002.0,,11.0
GD67,Panasonic,No,81.0,,109.0,45.0,20.0,9.432541900388259,2002.0,,
GD75,Panasonic,No,82.0,,106.0,46.0,16.0,9.346513733165635,2001.0,,
GD35,Panasonic,No,109.0,,120.0,46.0,20.0,9.453270634010623,2001.0,,
GD93,Panasonic,No,80.0,,120.0,45.0,16.4,9.346513733165635,2000.0,,
GD30,Panasonic,No,135.0,,135.0,45.0,20.0,9.453270634010623,1999.0,,
Crux,Pantech,nan,122.0,7.62,109.0,58.0,13.0,,2010.0,,10.0
Laser P9050,Pantech,nan,115.0,7.8740000000000006,113.8,57.9,10.0,9.967226258835993,2010.0,,10.0
GF100,Pantech,No,85.0,,82.0,44.0,22.5,9.411510988012072,2005.0,,2.0
GF200,Pantech,No,85.0,,81.0,42.0,22.0,9.681238411777805,2004.0,,5.0
GB100,Pantech,No,80.0,,80.0,42.0,21.0,9.324180546618742,2004.0,,5.0
W5510,Philips,nan,138.8,8.89,116.2,63.0,13.0,10.671541066711884,2013.0,,9.0
W6350,Philips,nan,154.0,10.16,125.2,63.9,11.5,10.671541066711884,2012.0,,11.0
W930,Philips,nan,250.0,8.128,110.0,57.8,22.0,10.966505451905741,2012.0,,7.0
362,Philips,No,83.0,,100.0,45.0,18.0,9.552669097514272,2005.0,,5.0
868,Philips,No,110.0,,92.0,45.0,26.0,9.552669097514272,2005.0,,5.0
859,Philips,No,94.0,,88.0,46.0,23.0,9.231221180711186,2004.0,,8.0
Fisio 625,Philips,No,85.0,,104.0,46.0,20.0,,2002.0,,
Fisio 620,Philips,No,85.0,,104.0,46.0,20.0,,2002.0,,
Fisio 610,Philips,No,90.0,,110.0,45.0,18.0,,2001.0,,
Azalis 268,Philips,No,99.0,,119.0,44.0,22.0,9.105908508571158,2000.0,,
Azalis 238,Philips,No,125.0,,114.0,51.0,24.0,,2000.0,,
Diga,Philips,No,179.0,,147.0,56.0,19.0,9.231221180711186,1997.0,,
Fizz,Philips,No,169.0,,162.0,60.0,17.0,,1996.0,,
Ram 8,Plum,nan,134.0,6.096,111.5,57.5,22.0,10.230020435705635,2018.0,,12.0
8600,Qtek,nan,120.0,5.588000000000001,112.4,46.0,14.8,10.217957697864113,2006.0,,6.0
8300,Qtek,Class 10,106.0,5.588000000000001,107.5,46.0,17.5,10.16867211813223,2005.0,,8.0
8080,Qtek,No,130.0,5.588000000000001,120.0,50.0,23.5,9.967226258835993,2004.0,,2.0
8060,Qtek,No,130.0,5.588000000000001,120.0,50.0,23.5,9.967226258835993,2004.0,,2.0
1010,Qtek,No,201.0,8.89,129.0,73.0,18.0,10.55170826162069,2003.0,,
7070,Qtek,No,120.0,5.588000000000001,120.0,50.0,23.5,9.967226258835993,2004.0,,2.0
X3 SuperZoom,Realme,nan,202.0,16.764,163.8,75.8,8.9,12.036517070486518,2020.0,26.0,5.0
6S,Realme,nan,191.0,16.51,162.1,74.8,8.9,12.07045641594465,2020.0,26.0,5.0
X50 Pro Player,Realme,nan,209.0,16.3576,159.0,74.2,8.9,12.036517070486518,2020.0,25.0,5.0
Narzo 10,Realme,nan,199.0,16.51,164.4,75.4,9.0,12.288000889707574,2020.0,11.0,5.0
Narzo 10A,Realme,nan,195.0,16.51,164.4,75.0,9.0,12.288000889707574,2020.0,11.0,5.0
X50m 5G,Realme,nan,194.0,16.6878,163.8,75.8,8.9,12.036517070486518,2020.0,23.0,4.0
